,Title,Price,Rating
0,A Light in the Attic,£51.77,"['star-rating', 'Three']"
1,Tipping the Velvet,£53.74,"['star-rating', 'One']"
2,Soumission,£50.10,"['star-rating', 'One']"
3,Sharp Objects,£47.82,"['star-rating', 'Four']"
4,Sapiens: A Brief History of Humankind,£54.23,"['star-rating', 'Five']"
5,The Requiem Red,£22.65,"['star-rating', 'One']"
6,The Dirty Little Secrets of Getting Your Dream Job,£33.34,"['star-rating', 'Four']"
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,"['star-rating', 'Three']"
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,"['star-rating', 'Four']"
9,The Black Maria,£52.15,"['star-rating', 'One']"
10,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,"['star-rating', 'Two']"
11,Shakespeare's Sonnets,£20.66,"['star-rating', 'Four']"
12,Set Me Free,£17.46,"['star-rating', 'Five']"
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,"['star-rating', 'Five']"
14,Rip it Up and Start Again,£35.02,"['star-rating', 'Five']"
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,"['star-rating', 'Three']"
16,Olio,£23.88,"['star-rating', 'One']"
17,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,"['star-rating', 'One']"
18,Libertarianism for Beginners,£51.33,"['star-rating', 'Two']"
19,It's Only the Himalayas,£45.17,"['star-rating', 'Two']"
